Id,Label,度,Closeness Centrality,Betweenness Centrality,PageRank,Eigenvector Centrality
35377,35377,1,8.974763407,0,1.31E-04,0.009723079
35599,35599,1,8.974763407,0,1.31E-04,0.009723079
36928,36928,1,8.974763407,0,1.31E-04,0.009723079
70571,70571,2,7.029743128,131638,2.21E-04,0.011254443
101475,101475,1,8.974763407,0,1.31E-04,0.009723079
139425,139425,1,8.974763407,0,1.31E-04,0.009723079
139527,139527,1,8.974763407,0,1.31E-04,0.009723079
139535,139535,1,8.974763407,0,1.31E-04,0.009723079
139553,139553,1,8.974763407,0,1.31E-04,0.009723079
139586,139586,1,8.974763407,0,1.31E-04,0.009723079
139588,139588,1,8.974763407,0,1.31E-04,0.009723079
139599,139599,1,8.974763407,0,1.31E-04,0.009723079
139669,139669,1,8.974763407,0,1.31E-04,0.009723079
139726,139726,1,8.974763407,0,1.31E-04,0.009723079
139791,139791,1,8.974763407,0,1.31E-04,0.009723079
139803,139803,1,8.974763407,0,1.31E-04,0.009723079
139809,139809,1,8.974763407,0,1.31E-04,0.009723079
139813,139813,1,8.974763407,0,1.31E-04,0.009723079
140079,140079,1,8.974763407,0,1.31E-04,0.009723079
140097,140097,1,8.974763407,0,1.31E-04,0.009723079
140267,140267,1,8.974763407,0,1.31E-04,0.009723079
140489,140489,1,8.974763407,0,1.31E-04,0.009723079
140672,140672,1,8.974763407,0,1.31E-04,0.009723079
140740,140740,1,8.974763407,0,1.31E-04,0.009723079
141577,141577,1,8.974763407,0,1.31E-04,0.009723079
141678,141678,1,8.974763407,0,1.31E-04,0.009723079
142012,142012,1,8.974763407,0,1.31E-04,0.009723079
142105,142105,1,8.974763407,0,1.31E-04,0.009723079
142121,142121,1,8.974763407,0,1.31E-04,0.009723079
142242,142242,1,8.974763407,0,1.31E-04,0.009723079
142391,142391,1,8.974763407,0,1.31E-04,0.009723079
142547,142547,1,8.974763407,0,1.31E-04,0.009723079
142844,142844,1,8.974763407,0,1.31E-04,0.009723079
142929,142929,1,8.974763407,0,1.31E-04,0.009723079
142976,142976,1,8.974763407,0,1.31E-04,0.009723079
143038,143038,1,8.974763407,0,1.31E-04,0.009723079
143077,143077,1,8.974763407,0,1.31E-04,0.009723079
143114,143114,1,8.974763407,0,1.31E-04,0.009723079
143509,143509,1,8.974763407,0,1.31E-04,0.009723079
143972,143972,1,8.974763407,0,1.31E-04,0.009723079
145183,145183,1,8.974763407,0,1.31E-04,0.009723079
145361,145361,1,8.974763407,0,1.31E-04,0.009723079
147203,147203,1,8.974763407,0,1.31E-04,0.009723079
147382,147382,1,8.974763407,0,1.31E-04,0.009723079
150098,150098,1,8.974763407,0,1.31E-04,0.009723079
150183,150183,1,8.974763407,0,1.31E-04,0.009723079
151285,151285,1,8.974763407,0,1.31E-04,0.009723079
152000,152000,1,8.974763407,0,1.31E-04,0.009723079
154640,154640,1,8.974763407,0,1.31E-04,0.009723079
154669,154669,1,8.974763407,0,1.31E-04,0.009723079
160638,160638,1,8.974763407,0,1.31E-04,0.009723079
178739,178739,1,8.974763407,0,1.31E-04,0.009723079
178785,178785,1,8.974763407,0,1.31E-04,0.009723079
2822,2822,1,13.96394772,0,1.28E-04,0.006334479
2880,2880,1,13.96394772,0,1.28E-04,0.006334479
33947,33947,1,13.96394772,0,1.28E-04,0.006334479
37141,37141,1,13.96394772,0,1.28E-04,0.006334479
104661,104661,1,13.96394772,0,1.28E-04,0.006334479
104691,104691,1,13.96394772,0,1.28E-04,0.006334479
104749,104749,1,13.96394772,0,1.28E-04,0.006334479
104750,104750,1,13.96394772,0,1.28E-04,0.006334479
104770,104770,1,13.96394772,0,1.28E-04,0.006334479
104788,104788,1,13.96394772,0,1.28E-04,0.006334479
104866,104866,1,13.96394772,0,1.28E-04,0.006334479
104943,104943,1,13.96394772,0,1.28E-04,0.006334479
104980,104980,1,13.96394772,0,1.28E-04,0.006334479
104994,104994,1,13.96394772,0,1.28E-04,0.006334479
105082,105082,1,13.96394772,0,1.28E-04,0.006334479
105315,105315,1,13.96394772,0,1.28E-04,0.006334479
105328,105328,1,13.96394772,0,1.28E-04,0.006334479
105693,105693,1,13.96394772,0,1.28E-04,0.006334479
105866,105866,1,13.96394772,0,1.28E-04,0.006334479
106295,106295,1,13.96394772,0,1.28E-04,0.006334479
106328,106328,1,13.96394772,0,1.28E-04,0.006334479
106530,106530,1,13.96394772,0,1.28E-04,0.006334479
106913,106913,1,13.96394772,0,1.28E-04,0.006334479
107154,107154,1,13.96394772,0,1.28E-04,0.006334479
107879,107879,1,13.96394772,0,1.28E-04,0.006334479
110043,110043,1,13.96394772,0,1.28E-04,0.006334479
110948,110948,1,13.96394772,0,1.28E-04,0.006334479
111412,111412,1,13.96394772,0,1.28E-04,0.006334479
111477,111477,1,13.96394772,0,1.28E-04,0.006334479
112259,112259,1,13.96394772,0,1.28E-04,0.006334479
112438,112438,1,13.96394772,0,1.28E-04,0.006334479
112663,112663,1,13.96394772,0,1.28E-04,0.006334479
115512,115512,1,13.96394772,0,1.28E-04,0.006334479
116840,116840,1,13.96394772,0,1.28E-04,0.006334479
116938,116938,1,13.96394772,0,1.28E-04,0.006334479
117481,117481,1,13.96394772,0,1.28E-04,0.006334479
154104,154104,1,13.96394772,0,1.28E-04,0.006334479
24117,24117,11,7.021631365,13296,0.00111153,0.050333591
6188,6188,1,8.021180712,0,1.22E-04,0.004344688
10373,10373,2,7.025687247,0,2.13E-04,0.036877958
24119,24119,150,6.029292474,343231.7805,0.016097917,0.415942909
24121,24121,1,8.021180712,0,1.22E-04,0.004344688
24122,24122,1,8.021180712,0,1.22E-04,0.004344688
24124,24124,2,7.025687247,0,2.13E-04,0.036877958
24127,24127,1,8.021180712,0,1.22E-04,0.004344688
24128,24128,2,7.025687247,0,2.13E-04,0.036877958
24129,24129,2,7.025687247,0,2.13E-04,0.036877958
24136,24136,1,8.021180712,0,1.22E-04,0.004344688
24190,24190,1,8.021180712,0,1.22E-04,0.004344688
4081,4081,1,7.028841821,0,1.27E-04,0.03253327
7435,7435,1,7.028841821,0,1.27E-04,0.03253327
9288,9288,1,7.028841821,0,1.27E-04,0.03253327
9513,9513,1,7.028841821,0,1.27E-04,0.03253327
10222,10222,1,7.028841821,0,1.27E-04,0.03253327
14664,14664,1,7.028841821,0,1.27E-04,0.03253327
14684,14684,1,7.028841821,0,1.27E-04,0.03253327
16860,16860,1,7.028841821,0,1.27E-04,0.03253327
17971,17971,1,7.028841821,0,1.27E-04,0.03253327
19556,19556,1,7.028841821,0,1.27E-04,0.03253327
21242,21242,1,7.028841821,0,1.27E-04,0.03253327
23908,23908,1,7.028841821,0,1.27E-04,0.03253327
25346,25346,1,7.028841821,0,1.27E-04,0.03253327
25389,25389,1,7.028841821,0,1.27E-04,0.03253327
26354,26354,1,7.028841821,0,1.27E-04,0.03253327
27458,27458,1,7.028841821,0,1.27E-04,0.03253327
29868,29868,1,7.028841821,0,1.27E-04,0.03253327
30084,30084,1,7.028841821,0,1.27E-04,0.03253327
35509,35509,1,7.028841821,0,1.27E-04,0.03253327
35886,35886,1,7.028841821,0,1.27E-04,0.03253327
44066,44066,1,7.028841821,0,1.27E-04,0.03253327
52112,52112,1,7.028841821,0,1.27E-04,0.03253327
52309,52309,1,7.028841821,0,1.27E-04,0.03253327
69530,69530,1,7.028841821,0,1.27E-04,0.03253327
70717,70717,1,7.028841821,0,1.27E-04,0.03253327
71790,71790,1,7.028841821,0,1.27E-04,0.03253327
75720,75720,1,7.028841821,0,1.27E-04,0.03253327
79108,79108,1,7.028841821,0,1.27E-04,0.03253327
80226,80226,1,7.028841821,0,1.27E-04,0.03253327
83118,83118,1,7.028841821,0,1.27E-04,0.03253327
83926,83926,1,7.028841821,0,1.27E-04,0.03253327
84387,84387,1,7.028841821,0,1.27E-04,0.03253327
85599,85599,1,7.028841821,0,1.27E-04,0.03253327
86640,86640,1,7.028841821,0,1.27E-04,0.03253327
86958,86958,1,7.028841821,0,1.27E-04,0.03253327
86959,86959,1,7.028841821,0,1.27E-04,0.03253327
86998,86998,1,7.028841821,0,1.27E-04,0.03253327
87160,87160,1,7.028841821,0,1.27E-04,0.03253327
87209,87209,1,7.028841821,0,1.27E-04,0.03253327
87466,87466,1,7.028841821,0,1.27E-04,0.03253327
87609,87609,1,7.028841821,0,1.27E-04,0.03253327
87748,87748,1,7.028841821,0,1.27E-04,0.03253327
87912,87912,1,7.028841821,0,1.27E-04,0.03253327
88321,88321,1,7.028841821,0,1.27E-04,0.03253327
88982,88982,1,7.028841821,0,1.27E-04,0.03253327
89038,89038,1,7.028841821,0,1.27E-04,0.03253327
89234,89234,1,7.028841821,0,1.27E-04,0.03253327
91259,91259,1,7.028841821,0,1.27E-04,0.03253327
91987,91987,1,7.028841821,0,1.27E-04,0.03253327
92272,92272,1,7.028841821,0,1.27E-04,0.03253327
98874,98874,1,7.028841821,0,1.27E-04,0.03253327
99287,99287,1,7.028841821,0,1.27E-04,0.03253327
99329,99329,1,7.028841821,0,1.27E-04,0.03253327
100679,100679,1,7.028841821,0,1.27E-04,0.03253327
